title,production_company,country,language,running_time,budget,box_office,release_date,imdb,directed_by,produced_by,based_on,distributed_by,release_location
Academy Award Review of,Walt Disney Productions,United States,English,41.0,0.0,0.0,1937-05-19,7.2,Unknown,Unknown,No based,Unknown,Unknown
Snow White and the Seven Dwarfs,Walt Disney Productions,United States,English,83.0,1.49,418.0,1937-12-21,7.6,David Hand,Walt Disney,Snow white,RKO Radio Pictures,Carthay Circle Theatre  Los Angeles  CA
Pinocchio,Walt Disney Productions,United States,English,88.0,2.6,164.0,1940-02-07,7.4,Ben Sharpsteen,Walt Disney,The adventures of pinocchio,RKO Radio Pictures,Center Theatre
Fantasia,Walt Disney Productions,United States,English,126.0,2.28,83.3,1940-11-13,7.8,Samuel Armstrong,Walt Disney,No based,Walt Disney Productions,Unknown
The Reluctant Dragon,Walt Disney Productions,United States,English,74.0,0.6,0.96,1941-06-20,6.9,Alfred Werker,Walt Disney,No based,RKO Radio Pictures,Unknown
Dumbo,Walt Disney Productions,United States,English,64.0,0.95,1.3,1941-10-23,7.2,Ben Sharpsteen,Walt Disney,"Dumbo, the flying elephant",RKO Radio Pictures,New York City
Bambi,Walt Disney Productions,United States,English,70.0,0.858,267.4,1942-08-09,7.3,David Hand,Walt Disney,"Bambi, a life in the woods",RKO Radio Pictures,London
Saludos Amigos,Walt Disney Productions,United States,English,42.0,0.0,1.135,1942-08-24,6.1,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Rio de Janeiro
Saludos Amigos,Walt Disney Productions,United States,Portuguese,42.0,0.0,1.135,1942-08-24,6.1,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Rio de Janeiro
Saludos Amigos,Walt Disney Productions,United States,Spanish,42.0,0.0,1.135,1942-08-24,6.1,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Rio de Janeiro
Victory Through Air Power,Walt Disney Productions,United States,English,65.0,0.788,0.799,1943-07-17,6.5,James Algar,Walt Disney,Victory through air power,United Artists,Unknown
The Three Caballeros,Walt Disney Productions,United States,English,71.0,0.0,3.355,1944-12-21,6.4,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Mexico City
The Three Caballeros,Walt Disney Productions,United States,Spanish,71.0,0.0,3.355,1944-12-21,6.4,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Mexico City
The Three Caballeros,Walt Disney Productions,United States,Portuguese,71.0,0.0,3.355,1944-12-21,6.4,Norman Ferguson,Walt Disney,No based,RKO Radio Pictures,Mexico City
Make Mine Music,Walt Disney Productions,United States,English,75.0,1.35,3.275,1946-04-20,6.3,Jack Kinney,Walt Disney,Casey at the bat,RKO Radio Pictures,New York City
Song of the South,Walt Disney Productions,United States,English,94.0,2.125,65.0,1946-11-12,7.1,Live action:,Walt Disney,Uncle remus,RKO Radio Pictures,: Atlanta Georgia
Fun and Fancy Free,Walt Disney Productions,United States,English,73.0,0.0,3.165,1947-09-27,6.6,Jack Kinney,Walt Disney,Sinclair lewis ( bongo ) jack and the beanstalk ( mickey and the beanstalk ),RKO Radio Pictures,Unknown
Melody Time,Walt Disney Productions,United States,English,75.0,1.5,2.56,1948-05-27,6.4,Jack Kinney,Walt Disney,No based,RKO Radio Pictures,Unknown
So Dear to My Heart,Walt Disney Productions,United States,English,82.0,1.5,3.7,1948-11-29,6.8,Harold D. Schuster,Walt Disney,Midnight and jeremiah,RKO Radio Pictures,Chicago Illinois
The Adventures of Ichabod and Mr. Toad,Walt Disney Productions,United States,English,68.0,0.0,1.625,1949-10-05,7.0,Jack Kinney,Walt Disney,Kenneth grahame ( the wind in the willows ) the legend of sleepy hollow washington irving ( the legend of sleepy hollow ),RKO Radio Pictures,Unknown
